ts,code,description,lat,long,cost
2/9/11 20:35,3NF,Robbery - Street,39.33453,-76.55673,59000
2/9/11 20:35,3NF,Robbery - Street,39.33453,-76.55673,59000
2/9/11 20:35,3NF,Robbery - Street,39.33453,-76.55673,59000
2/9/11 22:40,3CF,Robbery - Commercial,39.29961,-76.55506,59000
2/10/11 20:30,3AF,Robbery - Street,39.279,-76.5447,59000
2/11/11 0:05,3AF,Robbery - Street,39.29822,-76.59902,59000
2/11/11 10:33,1F,Homicide,39.33456,-76.66274,441300
2/11/11 11:02,3AF,Robbery - Street,39.30163,-76.64173,59000
2/11/11 16:00,3AF,Robbery - Street,39.35471,-76.58597,59000
2/11/11 17:55,3JF,Robbery - Residence,39.37058,-76.54112,59000
2/11/11 17:55,3JF,Robbery - Residence,39.37058,-76.54112,59000
2/11/11 18:30,3AJF,Robbery - Carjacking,39.34274,-76.59127,59000
2/11/11 22:49,4A,Agg. Assault,39.30019,-76.60352,59000
2/11/11 22:49,9S,Shooting,39.30019,-76.60352,59000
2/12/11 0:10,3CF,Robbery - Commercial,39.30716,-76.639,59000
2/12/11 0:36,4A,Agg. Assault,39.31095,-76.58863,59000
2/12/11 0:36,9S,Shooting,39.31095,-76.58863,59000
2/12/11 4:04,9S,Shooting,39.28167,-76.64803,59000
2/12/11 9:20,4A,Agg. Assault,39.28167,-76.64803,59000
2/12/11 12:40,3AF,Robbery - Street,39.29979,-76.61294,59000
2/12/11 15:30,3JF,Robbery - Residence,39.30463,-76.5868,59000
2/12/11 22:00,3AF,Robbery - Street,39.35024,-76.5982,59000
2/12/11 23:50,3AF,Robbery - Street,39.32729,-76.6135,59000
2/13/11 0:53,3CF,Robbery - Commercial,39.34657,-76.56634,59000
2/13/11 0:53,3AF,Robbery - Street,39.34657,-76.56634,59000
2/13/11 2:18,9S,Shooting,39.29241,-76.61246,59000
2/13/11 2:18,4A,Agg. Assault,39.29244,-76.61181,59000
2/13/11 3:04,4A,Agg. Assault,39.29563,-76.57282,59000
2/13/11 3:04,4A,Agg. Assault,39.29563,-76.57282,59000
2/13/11 11:37,3CF,Robbery - Commercial,39.32222,-76.54716,59000
2/13/11 16:30,4A,Agg. Assault,39.34241,-76.66327,59000
2/13/11 16:37,9S,Shooting,39.34241,-76.66327,59000
2/13/11 19:15,3AF,Robbery - Street,39.35633,-76.59159,59000
2/13/11 20:15,3AF,Robbery - Street,39.33446,-76.69742,59000
2/13/11 21:38,4A,Agg. Assault,39.31966,-76.55458,59000
2/14/11 21:00,3AF,Robbery - Street,39.35469,-76.58563,59000
2/14/11 21:10,3AJF,Robbery - Carjacking,39.29443,-76.70256,59000
2/15/11 18:15,3EF,Robbery - Commercial,39.29371,-76.6241,59000
2/16/11 22:56,1F,Homicide,39.32603,-76.59291,441300
2/17/11 1:21,3EF,Robbery - Commercial,39.27283,-76.62958,59000
2/17/11 11:24,3JF,Robbery - Residence,39.32375,-76.57706,59000
2/17/11 17:43,3AF,Robbery - Street,39.33654,-76.70275,59000
2/17/11 17:43,3AF,Robbery - Street,39.33654,-76.70275,59000
2/18/11 4:55,3AF,Robbery - Street,39.28698,-76.60213,59000
2/18/11 22:42,9S,Shooting,39.30204,-76.63285,59000
2/18/11 22:42,4A,Agg. Assault,39.30241,-76.6333,59000
2/18/11 22:50,4A,Agg. Assault,39.30071,-76.58966,59000
2/19/11 0:35,3AF,Robbery - Street,39.35086,-76.68068,59000
2/19/11 0:35,3AF,Robbery - Street,39.35086,-76.68068,59000
2/19/11 19:10,9S,Shooting,39.31304,-76.65154,59000
2/19/11 19:10,4A,Agg. Assault,39.31404,-76.6516,59000
2/19/11 21:57,9S,Shooting,39.31511,-76.65995,59000
2/19/11 21:58,4A,Agg. Assault,39.3156,-76.65926,59000
2/19/11 21:58,4A,Agg. Assault,39.3156,-76.65926,59000
2/20/11 5:00,3AF,Robbery - Street,39.30951,-76.65733,59000
2/20/11 9:00,9S,Shooting,39.31195,-76.6485,59000
2/20/11 15:51,1F,Homicide,39.31524,-76.59558,441300
2/20/11 15:51,9S,Shooting,39.31524,-76.59558,59000
2/20/11 17:20,9S,Shooting,39.31121,-76.61232,59000
2/20/11 17:21,4A,Agg. Assault,39.31119,-76.61155,59000
2/20/11 22:35,3AF,Robbery - Street,39.32096,-76.61563,59000
2/21/11 1:25,3AF,Robbery - Street,39.32751,-76.56627,59000
2/21/11 15:00,3JF,Robbery - Residence,39.36012,-76.70588,59000
2/21/11 15:00,4A,Agg. Assault,39.36012,-76.70588,59000
